%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1538073507992208683,344,1538073507991998199,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508035482062,345,1538073508035047497,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508062626926,346,1538073508062254224,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508091069120,347,1538073508090858232,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508124358943,348,1538073508124217144,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508157594992,349,1538073508157430567,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508191047632,350,1538073508190858403,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508227516940,351,1538073508227227361,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508262883753,352,1538073508262515806,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508293593668,353,1538073508293401886,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508327124620,354,1538073508326926902,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508360778170,355,1538073508360596842,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508395404552,356,1538073508395172043,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508427894997,357,1538073508427564351,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508459312852,358,1538073508459026326,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508494082895,359,1538073508493879342,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508528704582,360,1538073508528470389,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508560755511,361,1538073508560517150,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508593644347,362,1538073508593437454,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508626259005,363,1538073508625992705,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508661811760,364,1538073508661585141,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508692175710,365,1538073508691995939,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508723763436,366,1538073508723580707,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508756985978,367,1538073508756812712,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508790913149,368,1538073508790696838,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508831242248,369,1538073508830760977,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508862624806,370,1538073508862286374,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508892227013,371,1538073508892019487,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508924386243,372,1538073508924182819,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508957974801,373,1538073508957752805,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073508992349357,374,1538073508992111061,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073509026401956,375,1538073509026139511,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073509059587984,376,1538073509059348041,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073509103520551,377,1538073509103185164,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073509127552914,378,1538073509127305196,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073509158133735,379,1538073509157924339,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073509191321980,380,1538073509191182991,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073509224322140,381,1538073509224147729,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073509258817168,382,1538073509258620606,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073509294039310,383,1538073509293797366,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538073509327411490,384,1538073509327190862,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
