%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1538079006894653607,440,1538079006894444874,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079006929182863,441,1538079006928984318,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079006961331230,442,1538079006961052897,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079006996740624,443,1538079006996559878,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007030206931,444,1538079007029976496,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007062001251,445,1538079007061752758,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007096634829,446,1538079007096448190,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007127723318,447,1538079007127570293,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007162040180,448,1538079007161832069,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007197832324,449,1538079007197642029,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007231192331,450,1538079007231038208,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007261791091,451,1538079007261611621,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007296456588,452,1538079007296279937,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007329078286,453,1538079007328820548,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007371255590,454,1538079007370753185,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007395917378,455,1538079007395752744,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007428380829,456,1538079007428189392,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007461667618,457,1538079007461447070,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007496869569,458,1538079007496664049,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538079007531790661,459,1538079007531555275,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
