%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1538010269090030710,443,1538010269089755582,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269123198386,444,1538010269122928566,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269156764505,445,1538010269156513481,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269189881540,446,1538010269189637198,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269223928261,447,1538010269223703958,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269257863291,448,1538010269257659268,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269288906630,449,1538010269288702689,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269322996685,450,1538010269322784142,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269354848347,451,1538010269354666622,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269388138892,452,1538010269387943616,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269422915435,453,1538010269422740118,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269454702642,454,1538010269454457993,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269488012609,455,1538010269487755006,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269521456287,456,1538010269521233594,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269554692269,457,1538010269554498416,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269588090896,458,1538010269587874862,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269632063345,459,1538010269631624307,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269655354440,460,1538010269655093792,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269686636096,461,1538010269686453488,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269719999225,462,1538010269719804503,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269754185432,463,1538010269753963789,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269789986302,464,1538010269789683892,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269824462114,465,1538010269824192172,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269857834448,466,1538010269857617638,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269891193552,467,1538010269890842412,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269925605196,468,1538010269925319851,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269957650876,469,1538010269957431005,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010269990335911,470,1538010269989934355,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010270020753877,471,1538010270020570857,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010270056669048,472,1538010270056442768,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010270090025661,473,1538010270089787430,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538010270121756155,474,1538010270121587627,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
