%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1538071212797980438,764,1538071212797739120,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071212831199820,765,1538071212831061331,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071212864527431,766,1538071212864358264,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071212897310921,767,1538071212897169439,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071212931551166,768,1538071212931273739,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071212966197574,769,1538071212965985194,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213009828231,770,1538071213009428893,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213033104582,771,1538071213032806909,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213063444686,772,1538071213063288282,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213097882967,773,1538071213097699507,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213132798054,774,1538071213132641780,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213165127806,775,1538071213164962947,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213203796291,776,1538071213203345629,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213233189922,777,1538071213233014535,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213265730893,778,1538071213265572560,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213297191343,779,1538071213297018943,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213333245007,780,1538071213333050186,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213366203535,781,1538071213366026539,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213399655589,782,1538071213399468087,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213432735341,783,1538071213432529242,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213466342508,784,1538071213466128468,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213498672101,785,1538071213498424226,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213541115734,786,1538071213540715713,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213564013444,787,1538071213563839014,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213597511614,788,1538071213597298020,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213630851743,789,1538071213630580616,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213664191345,790,1538071213664013794,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213699490149,791,1538071213699286689,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213731259941,792,1538071213731003819,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213765023220,793,1538071213764808735,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213800563941,794,1538071213800308707,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213832242874,795,1538071213832026188,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213867231854,796,1538071213866968368,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213897926787,797,1538071213897743280,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213935267747,798,1538071213935051720,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071213968854895,799,1538071213968614751,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071214000182411,800,1538071213999878379,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071214031980906,801,1538071214031728808,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071214067675438,802,1538071214067427300,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071214099144545,803,1538071214098939722,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071214133980915,804,1538071214133815210,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071214166276287,805,1538071214166044190,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538071214199346014,806,1538071214199076625,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
